"cd_procedimento";"ano_realizacao";"n_procedimento";"custo_procedimento"
"30101638";"2024";722.00;87052.40
"30101646";"2023";9021.50;464622.73
"30101646";"2024";6288.00;315517.23
"30101662";"2023";589.00;60376.99
"30101662";"2024";559.00;55261.17
"30101670";"2023";1283.00;181706.15
"30101670";"2024";779.00;133709.58
"30101735";"2023";2484.00;227758.45
"30101735";"2024";1637.00;146617.92
"30101786";"2023";12640.60;3341714.62
"30101786";"2024";12778.00;3715770.82
"30101794";"2023";21566.80;1548595.11
"30101794";"2024";14924.00;1069344.84
"30101824";"2023";3.00;897.24
"30101840";"2023";28.00;2502.85
"30101840";"2024";3.00;564.12
"30101913";"2023";22530.50;3673893.55
"30101913";"2024";28699.00;4431011.11
"30101930";"2023";168.00;11299.10
"30101930";"2024";43.00;2514.92
"30101948";"2023";1866.00;213715.60
"30101948";"2024";1050.00;112294.46
"30101956";"2023";14.00;2385.86
"30101956";"2024";3.00;218.75
"30201012";"2023";22.00;1394.14
"30201012";"2024";22.00;2699.34
"30201055";"2023";13.00;826.52
"30201055";"2024";13.00;1091.20
"30201063";"2023";57.00;14723.10
"30201063";"2024";16.00;2279.94
"30202027";"2023";77.00;9379.47
"30202027";"2024";95.00;20309.71
"30202159";"2023";2003.00;265575.79
"30202159";"2024";274.00;53936.88
"30203015";"2023";1629.00;216529.87
"30203015";"2024";1138.00;158586.97
"30203031";"2023";17.00;2829.87
"30203031";"2024";16.00;2440.93
"30204011";"2023";21.00;3727.42
"30204011";"2024";33.00;15420.80
"30204038";"2023";37.00;7968.88
"30204038";"2024";14.00;4968.58
"30204097";"2023";12.00;3547.11
"30204097";"2024";3.00;1381.27
"30204100";"2024";1.00;209.00
"30205018";"2023";83.00;16052.93
"30205018";"2024";48.00;6383.34
"30205077";"2023";48.00;8205.90
"30205077";"2024";24.00;5617.35
"30205093";"2023";1698.00;239004.30
"30205093";"2024";1040.00;138279.53
"30205107";"2023";7.00;1391.36
"30205107";"2024";5.00;728.12
"30207215";"2023";8.00;461.42
"30207215";"2024";5.00;5063.03
"30207223";"2023";270.00;68951.09
"30207223";"2024";102.00;18265.42
"30207231";"2023";9.00;1089.43
"30207231";"2024";1.00;240.55
"30208041";"2023";37.09;28884.68
"30208041";"2024";6.00;61169.00
"30210119";"2023";1545.50;288494.52
"30210119";"2024";660.00;162778.44
"30210127";"2023";4741.00;1008449.41
"30210127";"2024";3494.00;682214.17
"30211018";"2023";16.00;2118.14
"30211018";"2024";6.00;640.72
"30212103";"2023";10.00;2172.59
"30212103";"2024";8.00;2504.71
"30212120";"2023";37.00;3054.17
"30212120";"2024";6.00;415.47
"30213010";"2023";49.00;6596.20
"30213010";"2024";35.00;5663.55
"30214017";"2023";2.00;610.00
"30214017";"2024";2.00;201.37
"30301017";"2023";122.00;8516.93
"30301017";"2024";13.00;1924.42
"30301025";"2023";60.00;4540.15
"30301025";"2024";42.00;3795.49
"30301033";"2023";320.00;17410.26
"30301033";"2024";49.00;10405.90
"30301041";"2023";1086.00;94468.66
"30301041";"2024";768.00;67276.92
"30301050";"2023";3607.00;292215.91
"30301050";"2024";4966.00;374672.19
"30301068";"2023";49.00;9750.32
"30301068";"2024";31.00;6689.08
"30301076";"2023";7.00;2420.79
"30301076";"2024";3.00;2082.21
"30301084";"2023";1452.30;353012.18
"30301084";"2024";856.00;180094.67
"30301114";"2023";52.00;7322.06
"30301122";"2023";567.00;23470.41
"30301122";"2024";290.00;12049.79
"30301130";"2023";320.00;43186.28
"30301130";"2024";334.00;41590.62
"30301149";"2023";6.00;631.60
"30301157";"2023";90.00;29026.31
"30301157";"2024";121.00;32912.99
"30301190";"2023";6281.00;1239845.85
"30301190";"2024";5403.00;1022320.71
"30301203";"2023";51.00;13566.18
"30301203";"2024";46.00;11321.74
"30301238";"2023";347.00;39639.11
"30301238";"2024";279.00;31263.50
"30301246";"2023";22.00;6118.23
"30301246";"2024";7.00;1078.49
"30301254";"2023";2.00;245.47
"30301262";"2023";347.00;79550.23
"30301262";"2024";283.00;58095.93
"30303028";"2023";41.00;2715.91
"30303028";"2024";33.00;2087.75
"30303044";"2023";130.00;6790.89
"30303044";"2024";54.00;1771.38
"30303052";"2023";248.00;50807.76
"30303052";"2024";145.00;25415.68
"30303060";"2023";10043.00;1479171.67
"30303060";"2024";9357.00;1278992.05
"30303087";"2023";357.00;50337.38
"30303087";"2024";230.00;29396.77
"30304016";"2023";2.00;897.03
"30304016";"2024";7.00;330.29
"30304032";"2023";4704.00;232890.50
"30304032";"2024";2535.00;121701.56
"30304040";"2023";506.00;302552.95
"30304040";"2024";415.00;194588.71
